iter	Passed	Remaining
542	141114	1061350
543	141329	1060753
544	141612	1060661
545	141848	1060225
546	142091	1059844
547	142416	1060066
548	142662	1059704
549	142980	1059874
550	143180	1059173
551	143393	1058569
552	143702	1058666
553	143903	1057974
554	144223	1058155
555	144472	1057820
556	144711	1057404
557	144864	1056366
558	145161	1056384
559	145378	1055812
560	145604	1055304
561	145817	1054715
562	146073	1054430
563	146326	1054124
564	146524	1053419
565	146820	1053423
566	146967	1052358
567	147312	1052714
568	147534	1052191
569	147754	1051646
570	147989	1051218
571	148206	1050656
572	148435	1050185
573	148713	1050061
574	148936	1049545
575	149180	1049181
576	149436	1048907
577	149682	1048551
578	149899	1047999
579	150127	1047525
580	150371	1047168
581	150603	1046718
582	150848	1046362
583	151077	1045899
584	151333	1045621
585	151697	1046093
586	151931	1045661
587	152187	1045382
588	152414	1044903
589	152695	1044802
590	152953	1044532
591	153142	1043803
592	153356	1043239
593	153589	1042803
594	153814	1042317
595	154052	1041925
596	154300	1041594
597	154499	1040936
598	154782	1040841
599	154942	1039922
600	155249	1039988
601	155407	1039064
602	155663	1038790
603	155885	1038291
604	156135	1037975
605	156390	1037697
606	156616	1037230
607	156855	1036848
608	157046	1036144
609	157269	1035661
610	157517	1035336
611	157763	1035001
612	158049	1034926
613	158303	1034644
614	158480	1033857
615	158719	1033482
616	158940	1032984
617	159185	1032645
618	159382	1031996
619	159584	1031378
620	159935	1031722
621	160098	1030860
622	160399	1030884
623	160661	1030651
624	160853	1029979
625	161080	1029524
626	161272	1028851
627	161520	1028533
628	161833	1028630
629	162018	1027916
630	162232	1027387
631	162457	1026929
632	162696	1026555
633	162912	1026039
634	163122	1025486
635	163366	1025152
636	163633	1024954
637	163926	1024923
638	164154	1024488
639	164391	1024106
640	164644	1023828
641	164845	1023224
642	165142	1023213
643	165368	1022769
644	165562	1022122
645	165795	1021718
646	166022	1021284
647	166245	1020821
648	166432	1020138
649	166713	1020028
650	166942	1019608
651	167156	1019092
652	167423	1018899
653	167636	1018377
654	167827	1017725
655	168107	1017616
656	168302	1016989
657	168558	1016733
658	168813	1016466
659	169149	1016688
660	169334	1016006
